Brand,Model,Year,Price,KM_Driven,Fuel,Seller_Type,Transmission,Owner
Maruti,Maruti,2013,225000,50000,Diesel,,Manual,First Owner
Hyundai,Hyundai,2015,290000,20000,Petrol,Individual,Manual,First Owner
Toyota,Toyota Innova 2.5 VX (Diesel) 8 Seater,2010,1050000,70000,Diesel,Individual,Manual,First Owner
Maruti,Maruti Swift VDI BSIV,2009,400000,100000,Diesel,Individual,Manual,Third Owner
Renault,Renault KWID 1.0 RXT Optional,2019,300000,30300,Petrol,Individual,Manual,First Owner
Maruti,,2014,80000,66508,Petrol,Individual,Manual,Second Owner
Toyota,Toyota Innova 2.5 V Diesel 8-seater,2006,500000,120000,Diesel,Individual,Manual,Third Owner
Hyundai,Hyundai Grand i10 1.2 Kappa Magna AT,,,,,,,First Owner
Hyundai,Hyundai i10 Magna,2016,229999,49824,Petrol,Individual,Manual,First Owner
Honda,Honda,2015,600000,27483,Diesel,Dealer,Manual,First Owner
Hyundai,Hyundai,2012,250000,,Petrol,Dealer,Manual,
BMW,BMW X1 sDrive 20d xLine,2018,2400000,30000,Diesel,Individual,Manual,First Owner
Mahindra,Mahindra,2015,1300000,35000,Diesel,Individual,Manual,First Owner
Hyundai,,,,,,Individual,,First Owner
Maruti,Maruti,,,,,Dealer,Manual,First Owner
Maruti,Maruti Celerio LXI MT BSIV,2017,340000,50000,Petrol,Individual,Manual,First Owner
Maruti,Maruti,2015,165000,132000,Petrol,Individual,Manual,First Owner
Maruti,Maruti,2014,183000,40000,Petrol,Individual,Manual,First Owner
Honda,Honda Amaze VX Petrol BSIV,2017,690000,39000,Petrol,Dealer,Manual,First Owner
Toyota,Toyota Innova Crysta 2.4 VX MT 8S BSIV,2018,1900000,100000,Diesel,Individual,Manual,First Owner
Toyota,Toyota,2015,851000,53652,Diesel,Dealer,Manual,First Owner
Maruti,Maruti Wagon R LXI,2009,240000,120000,Petrol,Individual,Manual,First Owner
Maruti,,2015,98000,54000,Petrol,Individual,Manual,First Owner
Mercedes-Benz,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2005,1375000,33800,Diesel,Dealer,Automatic,Second Owner
Maruti,,,,,,Individual,,First Owner
Maruti,Maruti,2013,556000,24000,Petrol,,Manual,First Owner
Hyundai,,,,,,Individual,Manual,First Owner
Hyundai,Hyundai i20 Active 1.2 SX,2010,700000,10000,Petrol,Individual,Manual,First Owner
Ford,Ford,2011,700000,,Diesel,,Manual,First Owner
Audi,Audi A4 30 TFSI Technology,2017,3100000,22000,Petrol,Individual,Automatic,First Owner
Audi,Audi,2014,1580000,,,,Automatic,First Owner
Mahindra,Mahindra,,,,,,,First Owner
Mahindra,,2012,500000,,Diesel,Individual,Manual,Second Owner
Datsun,Datsun,,,,,,Manual,First Owner
Maruti,Maruti,2013,750000,45974,Diesel,,Manual,First Owner
Hyundai,Hyundai Grand i10 1.2 Kappa Magna AT,2016,550000,19890,Petrol,Dealer,Automatic,First Owner
Mahindra,Mahindra Thar CRDe,2017,950000,20000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai,2013,520000,,,,Automatic,First Owner
Hyundai,Hyundai,2013,,,,,Automatic,First Owner
Maruti,Maruti,,,,,,Manual,First Owner
Hyundai,Hyundai Getz GLE,2015,400000,30000,Petrol,Individual,Automatic,First Owner
Maruti,Maruti Swift Dzire VDI,2017,500000,50000,Diesel,Individual,Manual,First Owner
Toyota,Toyota Innova 2.5 VX 8 STR,,,,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai,2014,180000,100000,Petrol,Individual,Manual,Third Owner
Hyundai,Hyundai i20 Asta,2011,270000,110000,Petrol,Individual,Manual,Second Owner
Hyundai,Hyundai,2013,1475000,11700,Petrol,,Automatic,First Owner
Ford,Ford Figo Petrol Titanium,2010,300000,50000,Petrol,Individual,Manual,Second Owner
Maruti,Petrol,2013,,110000,Petrol,Individual,Manual,Second Owner
Toyota,Toyota,,,,,,,First Owner
Honda,Honda,2014,639000,28205,Petrol,Dealer,Manual,First Owner
Honda,Honda,,,,,,,First Owner
Renault,Renault,2013,450000,1000,Diesel,Dealer,Manual,Second Owner
Tata,Tata Nano Lx BSIV,2007,100000,50000,Petrol,Individual,Manual,Second Owner
Audi,Audi Q5 2.0 TDI,2005,1190000,175900,Diesel,Dealer,Automatic,First Owner
Maruti,Maruti,2014,95000,100000,Petrol,Individual,Manual,Second Owner
Ford,Ford Ecosport 1.5 DV5 MT Ambiente,,,,,,,Second Owner
Mahindra,Mahindra,2015,400000,150000,Diesel,Individual,Manual,Second Owner
Maruti,Maruti Vitara Brezza ZDi Plus,2012,,,Diesel,,Manual,
Maruti,Maruti Vitara Brezza VDi,2019,780000,50000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai,2013,229999,,,,Manual,First Owner
Hyundai,Hyundai,,,,,,,First Owner
Hyundai,Hyundai Creta 1.6 CRDi SX Option,2017,1490000,20694,Diesel,Dealer,Manual,First Owner
Hyundai,Hyundai,2011,575000,,Petrol,,Manual,Second Owner
Maruti,Maruti Swift Dzire VXi,2019,250000,80659,Petrol,Individual,Manual,First Owner
Renault,Renault,2013,,1000,Diesel,Dealer,Manual,Second Owner
Maruti,Maruti SX4 ZDI Leather,2016,400000,60000,Diesel,Individual,Manual,Second Owner
Nissan,Nissan Sunny XV D Premium Leather,2016,450000,50000,Diesel,Individual,Manual,First Owner
Mahindra,Mahindra Scorpio S2 7 Seater,,,,Diesel,Individual,Manual,First Owner
Mahindra,Mahindra,2013,225000,,Diesel,,Manual,
Maruti,Maruti,2015,490000,59385,Diesel,Dealer,Manual,First Owner
Ford,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,,,,Petrol,Individual,Manual,First Owner
Ford,Ford EcoSport 1.5 TDCi Titanium BSIV,,,,Diesel,Dealer,Manual,First Owner
Renault,Renault KWID 1.0 RXT Optional,2012,390000,,Petrol,,Manual,
Honda,,2013,600000,,Diesel,Individual,Manual,
Maruti,,2012,,,Petrol,Individual,Manual,
Maruti,Maruti,2013,,110000,Petrol,Individual,Manual,
Maruti,Maruti 800 AC,2009,95000,100000,Petrol,Individual,Manual,Second Owner
Maruti,Maruti 800 AC BSII,2012,43000,,Petrol,,Manual,
Hyundai,Hyundai Creta 1.4 EX Diesel,2014,760000,55340,Petrol,Trustmark Dealer,Manual,First Owner
Volkswagen,Volkswagen Polo 1.5 TDI Highline,2012,500000,,Diesel,,Manual,
Mahindra,Mahindra Jeep CL 500 MDI,2006,250000,35000,Diesel,Individual,Manual,Second Owner
Mahindra,Mahindra Scorpio SLE BSIV,2017,550000,90000,Diesel,Individual,Manual,First Owner
Maruti,Maruti Alto 800 VXI,2011,282000,20000,Petrol,Individual,Manual,First Owner
Tata,Tata Indica LSI,2017,70000,60000,Petrol,Individual,Manual,Second Owner
Honda,Honda Accord 2.4 MT,2012,350000,,Petrol,,Manual,
Hyundai,Hyundai EON Era Plus Option,2009,265000,55000,Petrol,Dealer,Manual,First Owner
Ford,Ford Figo 1.2P Ambiente MT,2012,229999,,Petrol,,Manual,
Tata,Tata Indica Vista Aqua 1.3 Quadrajet,2019,110000,110000,Diesel,Individual,Manual,Second Owner
Chevrolet,Petrol,2013,,41000,Petrol,Dealer,Manual,First Owner
Maruti,Maruti,2015,300000,50000,Petrol,Individual,Manual,First Owner
Audi,Audi Q3 35 TDI Quattro Technology,2017,2700000,25000,Diesel,Individual,Automatic,First Owner
Hyundai,Hyundai Xcent 1.1 CRDi Base,2018,375000,72000,Diesel,Individual,Manual,First Owner
Hyundai,,2012,,,Petrol,Individual,Manual,
Maruti,Maruti Ignis 1.2 AMT Delta BSIV,2018,450000,15000,Petrol,Individual,Automatic,First Owner
Maruti,Maruti Swift Dzire VDi,2009,250000,150000,Diesel,Individual,Manual,Third Owner
Maruti,Maruti,2013,365000,65000,Diesel,,Manual,First Owner
Maruti,Maruti,2014,114999,60000,Petrol,Individual,Manual,Third Owner
Maruti,,2013,,,,Individual,Manual,First Owner
Hyundai,Hyundai,2014,495000,100000,Diesel,Individual,Manual,Second Owner
Hyundai,Hyundai,2014,380000,50000,Petrol,Individual,Manual,Second Owner
Maruti,Maruti SX4 Vxi BSIII,2007,120000,90000,Petrol,Individual,Manual,Second Owner
Skoda,Skoda,2011,350000,,Diesel,,Manual,First Owner
Nissan,Nissan Sunny Diesel XV,2016,450000,80000,Diesel,Individual,Manual,First Owner
BMW,BMW 3 Series GT Luxury Line,,,,,,,First Owner
Maruti,Maruti Baleno Alpha,2011,700000,,Petrol,Individual,Manual,First Owner
Maruti,Maruti,2014,250000,38000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai Santro Xing GL Plus,2018,170000,50000,Petrol,Individual,Manual,Second Owner
Maruti,Maruti,2015,180000,30375,Petrol,Dealer,Manual,First Owner
Hyundai,Hyundai,2014,550000,,,,Automatic,First Owner
Maruti,Maruti,2015,500000,35000,Petrol,Individual,Manual,First Owner
Maruti,,2013,352000,,Diesel,Individual,Manual,
Hyundai,Hyundai Grand i10 Magna AT,2016,520000,10510,Petrol,Dealer,Automatic,First Owner
Tata,Tata,2011,50000,,Diesel,,Manual,Second Owner
Hyundai,Hyundai i10 Asta AT,2009,350000,50000,Petrol,Individual,Automatic,Second Owner
Toyota,Toyota Innova 2.5 G (Diesel) 7 Seater,2005,1300000,80000,Diesel,Individual,Manual,First Owner
Maruti,Maruti,2011,250000,,Petrol,,Manual,Second Owner
Hyundai,Hyundai Santro Xing XL eRLX Euro III,2008,75000,114000,Petrol,Individual,Manual,Second Owner
Maruti,Maruti Omni E MPI STD BS IV,2012,250000,,Petrol,,Manual,
Mercedes-Benz,Mercedes-Benz S-Class S 350d Connoisseurs Edition,2007,8150000,6500,Diesel,Dealer,Automatic,First Owner
Honda,Honda City i-VTEC SV,,,,Petrol,Dealer,Manual,First Owner
Maruti,Maruti Esteem VX,,,,Petrol,Individual,Manual,Second Owner
Hyundai,Hyundai i10 Sportz 1.2,2014,90000,80000,CNG,Individual,Manual,Third Owner
Hyundai,Hyundai EON Magna Plus,2006,240000,73300,Petrol,Individual,Manual,Second Owner
Mercedes-Benz,Mercedes-Benz E-Class Exclusive E 200 BSIV,2007,4500000,9800,Petrol,Dealer,Automatic,First Owner
Maruti,Maruti,2015,260000,28481,Petrol,Dealer,Manual,First Owner
Hyundai,Hyundai i10 Magna,2016,229999,49824,Petrol,Dealer,Manual,First Owner
Maruti,Maruti Wagon R VXI BSIII,2018,150000,60000,Petrol,Individual,Manual,Second Owner
Maruti,Petrol,2013,,11918,Petrol,Trustmark Dealer,Manual,First Owner
Tata,Tata New Safari DICOR 2.2 EX 4x2,2012,,,Diesel,,Manual,
Hyundai,Hyundai Getz 1.3 GVS,2016,110000,110000,Petrol,Individual,Manual,First Owner
Datsun,Datsun RediGO T Option,2018,250000,46000,Petrol,Individual,Manual,First Owner
BMW,BMW 3 Series 320d Sport Line,2005,1550000,75800,Diesel,Dealer,Automatic,Second Owner
Maruti,Maruti Alto 800 LXI,2018,285000,46000,Petrol,Individual,Manual,Second Owner
Maruti,Maruti Ertiga ZDI Plus,2017,1100000,30000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai EON Era Plus,2008,280000,3240,Petrol,Individual,Manual,Second Owner
Hyundai,Hyundai i20 Magna 1.2,2017,600000,25000,Petrol,Individual,Manual,First Owner
Honda,Honda Civic 1.8 V AT,2007,210000,63500,Petrol,Dealer,Automatic,First Owner
Hyundai,Hyundai i20 Asta (o),2011,300000,50000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai EON 1.0 Era Plus,,,,,,,First Owner
Tata,Tata,2012,260000,,Diesel,Dealer,Manual,
Honda,Honda Brio S MT,2007,371000,20000,Petrol,Dealer,Manual,First Owner
Hyundai,Hyundai Xcent 1.1 CRDi Base,2018,375000,72000,Diesel,Individual,Manual,First Owner
Volkswagen,Volkswagen,2015,220000,63657,Diesel,Dealer,Manual,First Owner
Hyundai,Hyundai Santro LP zipPlus,2016,52000,50000,Petrol,Individual,Manual,Third Owner
Toyota,Toyota Innova 2.5 G (Diesel) 7 Seater,2012,1125000,,Diesel,,Manual,
Maruti,Maruti Swift ZDi BSIV,2006,665000,46000,Diesel,Dealer,Manual,First Owner
Hyundai,Hyundai,2013,484999,65000,Diesel,,Manual,First Owner
Renault,Renault KWID RXT,2009,225000,25000,Petrol,Individual,Manual,First Owner
Volkswagen,Volkswagen Jetta 1.4 TSI Comfortline,2007,450000,50000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Swift 1.3 VXi,2006,130000,110000,Petrol,Individual,Manual,Third Owner
Mahindra,,2014,900000,15000,Diesel,Individual,Manual,First Owner
Chevrolet,Chevrolet Enjoy 1.3 TCDi LS 8,2009,425000,20000,Diesel,Dealer,Manual,First Owner
Maruti,Maruti,2012,470000,,Diesel,,Manual,First Owner
Fiat,Fiat Linea T Jet Emotion,2009,890000,1136,Petrol,Dealer,Manual,First Owner
Mahindra,Mahindra,2011,430000,,Diesel,,Manual,First Owner
Maruti,Maruti Swift Vdi BSIII,2007,100000,110000,Diesel,Individual,Manual,Fourth & Above Owner
Honda,Honda,2014,600000,10000,Petrol,Individual,Manual,First Owner
Tata,Tata Tiago 1.2 Revotron XZ,2011,360000,4000,Petrol,Individual,Manual,First Owner
Tata,Tata Nano Lx,2017,120000,20000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai,2014,155000,100000,Diesel,Individual,Manual,Fourth & Above Owner
Chevrolet,Chevrolet Sail 1.2 Base,2004,260000,35000,Petrol,Individual,Manual,First Owner
Maruti,Maruti SX4 Zxi BSIII,2007,175000,29173,Petrol,Dealer,Manual,First Owner
Hyundai,Hyundai,2011,250000,,Petrol,,Manual,First Owner
Honda,Honda,2014,225000,55000,Petrol,Individual,Manual,Second Owner
Volkswagen,Volkswagen Jetta 2.0L TDI Highline AT,2016,735000,55300,Diesel,Dealer,Automatic,First Owner
Ford,Ford,,,,,,,First Owner
Maruti,Maruti Zen D,2009,75000,100000,Diesel,Individual,Manual,Second Owner
Mahindra,Mahindra KUV 100 mFALCON G80 K2,2017,425000,25000,Petrol,Individual,Manual,First Owner
Chevrolet,Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2008,400000,120000,Diesel,Individual,Manual,Third Owner
Tata,Tata Zest Revotron 1.2 XT,2012,380000,,Petrol,,Manual,
Audi,Audi A4 2.0 TDI 177 Bhp Premium Plus,2007,1150000,53000,Diesel,Dealer,Automatic,First Owner
Maruti,Maruti A-Star Vxi,2018,180000,70000,Petrol,Individual,Manual,Third Owner
Maruti,Maruti 800 AC,1995,60000,70000,Petrol,Individual,Manual,First Owner
Ford,Ford,2012,190000,,Petrol,,Manual,
Maruti,Maruti,2013,500000,,Petrol,,Manual,
Maruti,Maruti Swift ZXI BSIV,2016,670000,7104,Petrol,Individual,Manual,First Owner
Maruti,Maruti,2011,500000,,Petrol,Individual,Manual,First Owner
BMW,BMW,2013,,30000,Diesel,Dealer,Automatic,First Owner
Hyundai,Hyundai,,,,,,,Third Owner
Maruti,Maruti Baleno Delta Automatic,2018,550000,25000,Petrol,Individual,Automatic,First Owner
Hyundai,Hyundai Santro Xing XG AT,2018,160000,90000,Petrol,Individual,Manual,Second Owner
Hyundai,Hyundai i10 Era 1.1 iTech SE,2017,147000,110000,Petrol,Individual,Manual,Second Owner
Mahindra,Mahindra Bolero 2011-2019 SLE,2007,325000,62200,Diesel,Dealer,Manual,First Owner
Mahindra,Mahindra XUV300 W8 Option,2010,1150000,15000,Petrol,Dealer,Manual,First Owner
Hyundai,Hyundai i20 1.2 Spotz,2011,650000,20000,Petrol,Individual,Manual,Second Owner
Maruti,Maruti,2013,140000,49000,Petrol,,Manual,First Owner
Hyundai,Hyundai Grand i10 1.2 Kappa Asta,2010,500000,32000,Petrol,Individual,Manual,First Owner
Toyota,Toyota,2014,2600000,,,,Automatic,First Owner
Toyota,Toyota Etios Liva GD,2016,409999,56000,Diesel,Individual,Manual,First Owner
Maruti,Maruti 800 AC,2012,,,Petrol,,Manual,
Maruti,Maruti,2015,575000,90000,Diesel,Individual,Manual,Second Owner
Maruti,Maruti,2011,1000000,,Diesel,,Manual,First Owner
Mahindra,Mahindra Scorpio SLE BS IV,2018,620000,80000,,Dealer,,First Owner
Tata,Tata,2014,400000,35000,Petrol,Individual,Manual,First Owner
Renault,Renault,2012,325000,,Petrol,,Manual,
Maruti,Maruti,2014,300000,15000,Petrol,Individual,Manual,First Owner
Chevrolet,Chevrolet Beat LT,2009,120000,90000,Petrol,Individual,Manual,Second Owner
Hyundai,Hyundai Verna XXi (Petrol),2019,150000,84000,Petrol,Individual,Manual,Second Owner
Maruti,Maruti Swift Dzire VXI 1.2 BS IV,2016,615000,40000,Petrol,Individual,Manual,First Owner
Honda,,2015,409999,56541,Diesel,Dealer,Manual,First Owner
Hyundai,Hyundai Grand i10 Asta Option,2017,540000,20000,Petrol,Individual,Manual,Second Owner
Hyundai,Hyundai Xcent 1.1 CRDi Base,2018,375000,72000,Diesel,Individual,Manual,First Owner
Toyota,Toyota Innova 2.5 V Diesel 7-seater,,,,Diesel,Individual,Manual,First Owner
Toyota,Toyota Innova 2.5 GX (Diesel) 8 Seater,2008,500000,100000,Diesel,Individual,Manual,First Owner
Tata,Tata,2014,110000,80000,Diesel,Individual,Manual,First Owner
Mahindra,Mahindra XUV500 W8 2WD,2007,750000,70000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai i20 Magna 1.4 CRDi (Diesel),2010,385000,58000,Diesel,Dealer,Manual,First Owner
Maruti,Maruti Alto 800 LXI,2018,204999,25000,Petrol,Individual,Manual,Second Owner
Honda,Honda,2013,520000,82000,Diesel,,Manual,First Owner
Tata,Tata,2011,55000,,Petrol,,Manual,Fourth & Above Owner
Mahindra,Mahindra Scorpio M2DI,2017,600000,110000,Diesel,Individual,Manual,Fourth & Above Owner
Maruti,,2015,550000,80000,Diesel,Individual,Manual,First Owner
Maruti,Maruti,2015,300000,28942,Petrol,Dealer,Automatic,First Owner
Hyundai,Hyundai Grand i10 CRDi Sportz,2018,400000,42000,Diesel,Individual,Manual,First Owner
Mahindra,Mahindra Scorpio VLS AT 2.2 mHAWK,,,,Diesel,Individual,Automatic,Second Owner
Maruti,Maruti Alto LXi BSIII,2018,91200,60000,Petrol,Individual,Manual,Second Owner
Tata,,,,,,Individual,Manual,Second Owner
Toyota,Toyota,2013,350000,75000,Diesel,,Manual,First Owner
Hyundai,Hyundai Xcent 1.1 CRDi Base,2018,375000,72000,Diesel,Individual,Manual,First Owner
